School ID,EducationUnits,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
609809,Lorenz Brentano Math & Science Academy ES,531,32,26,3,3,467,Nan,Nan,Nan,Nan
609810,Norman A Bridge Elementary School,752,453,15,21,6,257,Nan,Nan,Nan,Nan
609811,Orville T Bright Elementary School,314,2,172,1,0,139,Nan,Nan,Nan,Nan
609812,William H Brown Elementary School,251,3,237,1,0,10,Nan,Nan,Nan,Nan
609813,Charles S Brownell Elementary School,298,0,298,0,0,0,Nan,Nan,Nan,Nan
609815,Edward A Bouchet Math & Science Academy ES,897,0,891,3,1,2,Nan,Nan,Nan,Nan
609817,Lyman A Budlong Elementary School,856,265,45,182,2,362,Nan,Nan,Nan,Nan
609818,Luther Burbank Elementary School,"1,300",19,132,14,0,"1,135",Nan,Nan,Nan,Nan
609819,Edmond Burke Elementary School,241,0,241,0,0,0,Nan,Nan,Nan,Nan
609820,Augustus H Burley Elementary School,519,239,43,34,3,200,Nan,Nan,Nan,Nan
609821,Burnham Elementary Inclusive Academy,274,0,273,0,0,1,Nan,Nan,Nan,Nan
609826,Rosario Castellanos Elementary School,554,1,10,1,0,542,Nan,Nan,Nan,Nan
609827,Burnside Elementary Scholastic Academy,765,0,762,0,0,3,Nan,Nan,Nan,Nan
609828,Jonathan Burr Elementary School,334,61,63,6,3,201,Nan,Nan,Nan,Nan
609829,John C Burroughs Elementary School,537,28,10,6,0,493,Nan,Nan,Nan,Nan
609830,Milton Brunson Math & Science Specialty ES,806,3,777,0,0,26,Nan,Nan,Nan,Nan
609832,Michael M Byrne Elementary School,694,333,12,2,2,345,Nan,Nan,Nan,Nan
609833,Charles P Caldwell Academy of Math & Science ES,390,0,385,0,0,5,Nan,Nan,Nan,Nan
609834,Little Village Elementary School,805,1,1,0,0,803,Nan,Nan,Nan,Nan
609835,Daniel R Cameron Elementary School,984,4,437,0,0,543,Nan,Nan,Nan,Nan
