SchoolID,School,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
400055.00,Noble St Chtr HS - Rauner,640,13,50,0,9,560,7,0,0,1
400056.00,Noble St Chtr HS - Clark,662,5,466,0,0,173,7,2,0,9
400057.00,Nobel St Chtr HS - UIC College Prep,851,22,201,0,4,576,8,36,0,4
400058.00,North Lawndale Chrt -Christiana,425,0,419,0,0,5,1,0,0,0
400059.00,North Lawndale Chrt - Collins,422,0,415,0,1,2,0,0,0,4
400060.00,Passages Chrt,440,25,215,2,3,91,24,73,4,3
400061.00,Perspectives Chrt - Calumet HS,754,1,741,0,1,4,6,0,0,1
400062.00,Perspectives Chrt - Cal Tech HS,494,1,486,0,0,4,1,0,0,2
400064.00,Perspectives Chrt  - Joslin,385,9,262,1,0,95,7,7,1,3
400066.00,Perspectives Chrt - ITT Math/Science,586,8,545,1,0,17,8,2,0,5
400068.00,Plato Learning Acad,475,0,473,0,0,2,0,0,0,0
400069.00,Polaris Charter Acad,442,1,399,0,0,37,1,0,0,4
400070.00,Prologue Early College HS,231,8,179,0,0,39,1,1,0,3
400071.00,Providence-Englewood Chrt,471,0,426,0,0,7,2,0,2,34
400072.00,Shabazz Charter,324,0,263,0,1,1,3,0,0,56
400073.00,Shabazz Chrt - DuSable,234,0,230,0,0,2,1,0,0,1
400074.00,Shabazz Chrt - Sizmore,286,0,263,0,0,2,0,0,0,21
400075.00,U Of C Chtr - Donoghue,550,0,527,0,1,3,1,0,0,18
400076.00,U Of C Chtr - North Kenwood,340,7,319,0,0,6,1,0,0,7
400077.00,U Of C Chtr - Woodlawn,634,1,619,0,0,3,5,0,1,5
400078.00,U of C Chtr - Woodson,372,1,353,0,0,1,2,0,0,15
400079.00,UNO Chtr - SPC Zizumbo,638,9,1,0,3,579,0,0,0,46
400080.00,UNO Chtr - PFC Torres,636,4,7,0,1,598,1,0,0,25
400081.00,UNO Chtr - Las Casas,286,0,2,0,0,281,1,0,0,2
400082.00,UNO Chtr - Fuentes,576,3,1,0,1,559,2,3,0,7
400083.00,UNO Chtr - Paz Interm,429,2,32,0,2,370,0,0,0,23
400084.00,UNO Chtr - Tamayo,288,3,0,0,0,285,0,0,0,0
400085.00,UNO Chtr - Major Garcia,648,6,3,0,4,627,0,1,1,6
400086.00,Urban Prep Chtr HS,449,0,401,0,0,1,3,0,0,44
400087.00,Yng Women Ldrshp Chrt,331,11,276,0,2,19,4,0,0,19
400089.00,UNO Chtr - Marquez,575,0,3,0,1,543,0,0,0,28
400091.00,Chicago Adv Tech Acad HS,387,10,271,0,2,96,0,7,0,1
400092.00,CICS - Lloyd Bond,348,0,341,0,0,5,0,0,0,2
400093.00,Chicago Talent Dev HS,183,0,176,0,0,5,2,0,0,0
400094.00,EPIC Acad HS,493,2,293,0,2,181,3,0,0,12
400096.00,Rowe,588,15,77,0,1,460,5,2,0,28
400097.00,Noble St Chtr HS - Chgo Bulls College,"1,079",9,303,0,3,742,9,7,1,5
400098.00,Noble St Chtr HS- Muchin,886,24,253,4,5,514,1,47,0,38
400101.00,UNO Chtr - Gage Park,555,0,4,0,2,524,0,0,0,25
400102.00,Urban Prep Acad - E Garfield HS,476,0,455,0,1,7,3,0,0,10
400104.00,Instituto Health Acad HS,762,11,33,0,4,711,0,1,0,2
400105.00,Urban Prep Acad - So Shore HS,502,0,490,0,0,9,2,0,0,1
400106.00,Noble St Chtr HS - Englewood HS,773,1,738,0,1,20,5,4,0,4
400107.00,LEARN Chtr - South Shore,383,0,298,0,1,32,1,0,0,51
400108.00,CICS - Hawkins,348,0,344,0,0,2,2,0,0,0
400109.00,Prologue Chrt - Johnston HS,251,0,247,0,0,3,1,0,0,0
400111.00,LEARN Chtr - Hunter Perkins,398,0,307,0,0,3,1,0,0,87
400112.00,UNO Chtr - 51st Homan,573,4,0,0,4,557,0,0,0,8
400113.00,CICS - Chgo Quest North,379,21,238,0,1,101,9,5,1,3
400114.00,UNO Chtr - St Marks,278,2,11,0,1,262,0,1,0,1
400115.00,Catalyst Chrt - Maria,832,8,380,0,3,378,5,0,0,58
400116.00,Montessori Englewood Chtr,205,0,170,0,0,8,2,0,0,25
400117.00,Noble St Chtr HS - Auburn-Grensham,498,0,488,0,0,8,0,1,0,1
400118.00,Noble St Chtr HS - Homan Square,431,6,372,0,0,46,2,0,0,5
400119.00,Legal Prep Acad Chtr,228,0,223,0,0,4,0,0,0,1
400120.00,UNO Chtr - Near West,576,7,28,0,1,524,2,0,0,14
400121.00,UNO Chtr - Northside,605,8,61,0,3,513,3,9,0,8
400123.00,YCCS Chtr - Scholastic,198,0,198,0,0,0,0,0,0,0
400124.00,YCCS Chtr - McKinley-Lakeside,177,0,174,0,0,3,0,0,0,0
400125.00,YCCS Chtr - ASIPRA,168,7,3,0,0,157,1,0,0,0
400126.00,YCCS Chtr - Assoc. House,155,3,42,0,0,108,1,1,0,0
400127.00,YCCS Chtr - Austin Career,187,0,178,0,0,6,2,1,0,0
400128.00,YCCS Chtr - CCA Academy,190,0,186,0,1,3,0,0,0,0
400129.00,YCCS Chtr - Houston,144,0,143,0,0,1,0,0,0,0
400130.00,YCCS Chtr - Comm Youth Dev.,251,0,247,0,1,3,0,0,0,0
400131.00,YCCS Chtr - Campos,170,4,27,0,0,133,1,1,0,4
400133.00,YCCS Chtr - Innovations,303,2,279,0,0,18,3,1,0,0
400134.00,YCCS Chtr - Addams,219,13,57,0,1,143,1,4,0,0
400135.00,YCCS Chtr - Lation Youth,199,1,14,0,0,184,0,0,0,0
400136.00,YCCS Chtr - Harvey Middle,186,2,173,0,1,10,0,0,0,0
400137.00,Little Black Pearl HS,148,1,146,0,0,1,0,0,0,0
400139.00,YCCS Chtr - Sullivan House,314,1,306,0,0,6,1,0,0,0
400141.00,YCCS Chtr - Truman Middle,212,26,75,0,2,100,3,4,2,0
400142.00,YCCS Chtr - Virtual,172,8,116,0,0,45,2,0,0,1
400143.00,YCCS Chtr - West Town,155,1,123,0,0,29,2,0,0,0
400144.00,YCCS Chtr - Westside Ldrshp,185,1,164,0,0,19,1,0,0,0
400145.00,YCCS Chtr - Youth Connection,250,0,246,0,0,3,1,0,0,0
400146.00,ACT Charter,166,0,160,0,0,6,0,0,0,0
400147.00,Chicago Excel Acad,375,3,360,0,0,11,0,0,1,0
400148.00,IJLA Chtr - Leadership  HS,165,3,5,0,1,152,0,1,0,3
400149.00,UNO Chtr - Soccer Acad,544,3,3,0,1,520,0,1,0,16
400150.00,YCCS Chtr - Chatham Academy,181,0,177,0,0,2,2,0,0,0
400151.00,LEARN Chtr - 7th Campus,201,0,170,0,0,5,1,0,1,24
400153.00,UNO Chtr - 15th Campus,380,1,5,0,0,372,0,0,0,2
400156.00,Noble St Chtr HS - Crimson Campus,102,0,99,0,0,1,0,0,0,2
400157.00,Noble St Chtr HS - Orange Campus,105,1,94,0,0,10,0,0,0,0
400159.00,Christopher Hse Chtr,95,1,5,0,0,77,0,1,0,11
400161.00,Chgo Collegiate Chtr HS,115,0,111,0,0,3,0,0,0,1
400162.00,Intrinsic Chtr HS,184,13,43,1,1,116,2,4,1,3
400163.00,KIPP Create Charter,84,0,81,0,0,0,2,0,0,1
400164.00,IJLA Chtr - Lozano HS,81,1,1,0,1,76,0,0,0,2
400165.00,LEARN Chtr - Middle,200,0,192,0,0,4,0,0,0,4
609674.00,Chicago Voc HS,990,0,974,0,0,12,4,0,0,0
609676.00,Dunbar Voc HS,"1,188",2,"1,167",0,0,11,6,2,0,0
609678.00,Jones CPHS,"1,124",324,236,2,4,349,35,107,3,64
609679.00,Prosser HS,"1,514",67,322,0,8,"1,099",8,8,2,0
609680.00,Payton CPHS,819,298,143,2,3,184,38,79,2,70
609682.00,Richards HS,385,1,146,0,1,234,1,1,0,1
609691.00,North-Grand HS,910,4,66,0,3,833,1,2,1,0
609692.00,Simeon HS,"1,467",0,"1,446",0,0,8,13,0,0,0
609693.00,Westinghouse HS,"1,125",23,674,0,3,355,8,61,1,0
609694.00,Hancock HS,928,38,8,0,2,867,5,5,1,2
609695.00,Amundsen HS,"1,266",129,138,1,6,787,8,185,5,7
609698.00,Bogan Tech HS,"1,115",26,538,0,10,533,7,1,0,0
609702.00,Crane Tech HS,162,0,154,0,2,5,1,0,0,0
609704.00,Farragut HS,"1,100",3,124,0,3,966,0,0,0,4
609705.00,Fenger  HS,421,0,415,0,0,4,1,0,1,0
609707.00,Robeson HS,372,0,371,0,0,1,0,0,0,0
609708.00,Foreman HS,"1,507",57,222,0,5,"1,201",6,10,2,4
609709.00,Gage Park HS,613,6,295,0,3,304,3,1,1,0
609710.00,Harlan HS,918,0,904,0,1,6,6,1,0,0
609711.00,Harper HS,482,1,468,0,0,11,1,0,0,1
609712.00,Hirsch HS,273,1,270,0,0,2,0,0,0,0
609713.00,Hyde Park HS,"1,001",0,989,0,0,4,7,0,0,1
609715.00,Kelly HS,"2,537",53,45,0,10,"2,073",3,351,1,1
609716.00,Kelvyn Park HS,890,20,47,0,3,791,19,1,0,9
609718.00,Kennedy HS,"1,506",385,66,0,7,"1,031",4,8,5,0
609719.00,Lake View HS,"1,436",182,173,0,9,932,31,105,4,0
609720.00,Lane Tech HS,"4,120","1,237",359,2,25,"1,883",94,427,14,79
609722.00,Manley HS,450,0,441,0,0,9,0,0,0,0
609723.00,Marshall HS,624,1,606,0,0,12,3,1,0,1
609724.00,Mather HS,"1,623",341,202,3,11,604,28,426,6,2
609725.00,Morgan Park HS,"1,431",18,"1,376",0,1,21,13,1,1,0
609726.00,Brooks CPHS,783,6,663,0,2,101,9,1,0,1
609727.00,Phillips HS,670,2,653,0,2,6,5,2,0,0
609728.00,Roosevelt HS,"1,437",72,157,1,5,"1,042",9,86,2,63
609729.00,Schurz HS,"2,379",134,219,0,15,"1,930",15,24,2,40
609730.00,Senn HS,"1,162",108,327,0,5,521,33,161,6,1
609732.00,Steinmetz HS,"1,809",191,227,0,14,"1,331",6,36,1,3
609733.00,Sullivan HS,708,31,305,0,4,263,11,92,2,0
609734.00,Taft HS,"3,195","1,534",67,4,9,"1,270",58,244,3,6
609735.00,Tilden HS,345,27,232,0,0,72,5,6,0,3
609736.00,Dyett HS,83,0,79,0,1,1,2,0,0,0
609737.00,Von Steuben HS,"1,666",316,194,0,10,883,30,227,4,2
609738.00,Lincoln Park HS,"2,230",629,535,0,7,728,94,232,1,4
609739.00,Washington G. HS,"1,563",94,110,1,17,"1,322",4,0,0,15
609740.00,Wells HS,596,17,277,0,2,294,4,1,1,0
609741.00,Hubbard HS,"1,615",53,85,0,6,"1,413",1,57,0,0
609744.00,Northside Lrn Ctr HS,284,44,87,1,0,138,1,13,0,0
609745.00,Southside Occp HS,228,7,175,0,0,44,0,0,2,0
609746.00,Kenwood HS,"1,814",27,"1,551",1,2,74,45,55,1,58
609748.00,York Alt HS,342,5,278,0,4,55,0,0,0,0
609749.00,Northside CPHS,"1,069",429,97,2,4,270,46,191,3,27
609750.00,Simpson HS,87,1,63,0,0,20,1,0,0,2
609751.00,King CPHS,804,8,737,0,0,41,6,12,0,0
609753.00,Chicago Agr Sci HS,651,199,275,0,2,152,17,3,0,3
609754.00,Chicago Mil Acad HS,405,7,312,0,1,78,6,0,0,1
609755.00,Young Magnet HS,"2,196",664,532,0,7,589,79,322,3,0
609756.00,Curie HS,"2,982",78,356,0,12,"2,449",9,77,1,0
609759.00,Clemente HS,701,19,161,0,3,513,4,1,0,0
609760.00,Carver Mil Acad HS,529,2,254,0,1,270,2,0,0,0
609761.00,Corliss HS,497,1,481,0,1,12,1,0,1,0
609762.00,Julian HS,"1,057",1,"1,040",0,1,10,5,0,0,0
609764.00,Juarez HS,"1,684",18,41,0,9,"1,583",10,22,1,0
609766.00,Vaughn Occp HS,214,40,68,0,0,99,0,7,0,0
609768.00,Hope CPHS,391,1,373,0,0,15,1,1,0,0
609769.00,Graham R. Trng CTR,123,5,64,0,0,51,1,2,0,0
609772.00,Addams,866,19,12,0,0,831,3,1,0,0
609773.00,Agassiz,484,170,119,0,1,160,19,13,2,0
609774.00,Alcott,510,326,46,1,0,74,29,30,0,4
609777.00,Armour,324,28,8,0,0,274,2,12,0,0
609779.00,Armstrong G.,"1,444",111,414,0,11,627,28,251,1,1
609780.00,Ames Middle,542,0,26,0,1,509,3,3,0,0
609781.00,Attucks,168,0,166,0,0,1,0,0,0,1
609782.00,Audubon,591,342,19,0,0,172,31,10,2,15
609783.00,Jefferson N.,252,6,216,0,0,30,0,0,0,0
609786.00,Avalon Park,308,1,302,0,1,3,1,0,0,0
609788.00,Barnard,301,1,288,0,0,6,4,1,1,0
609789.00,Barry,831,13,10,0,1,791,7,9,0,0
609790.00,Barton,591,2,584,0,0,4,1,0,0,0
609791.00,Bass,566,0,552,0,2,11,0,0,1,0
609792.00,Bateman,"1,036",94,26,0,6,833,4,38,1,34
