SchoolID,EducationUnits,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
609769.00,GRAHAM HS,132.00,1.00,77.00,0.00,0.00,49.00,1.00,2.00,1.00,1.00
609772.00,ADDAMS,894.00,14.00,16.00,0.00,0.00,862.00,1.00,0.00,0.00,1.00
609773.00,AGASSIZ,527.00,186.00,140.00,0.00,1.00,155.00,22.00,21.00,1.00,1.00
609774.00,ALCOTT ES,576.00,376.00,45.00,1.00,0.00,65.00,35.00,41.00,1.00,12.00
609777.00,ARMOUR,296.00,27.00,18.00,0.00,0.00,241.00,1.00,9.00,0.00,0.00
609779.00,ARMSTRONG G,1452.00,103.00,405.00,0.00,12.00,651.00,23.00,257.00,1.00,0.00
609780.00,MARINE LEADERSHIP AT AMES HS,793.00,4.00,82.00,0.00,2.00,699.00,4.00,2.00,0.00,0.00
609782.00,AUDUBON,570.00,333.00,18.00,0.00,0.00,151.00,29.00,18.00,2.00,19.00
609783.00,JEFFERSON HS,289.00,7.00,219.00,0.00,0.00,55.00,2.00,0.00,0.00,6.00
609786.00,AVALON PARK,332.00,2.00,325.00,0.00,0.00,3.00,1.00,0.00,1.00,0.00
609788.00,BARNARD,308.00,2.00,295.00,0.00,0.00,6.00,4.00,1.00,0.00,0.00
609789.00,BARRY,771.00,7.00,7.00,0.00,1.00,742.00,5.00,9.00,0.00,0.00
609790.00,BARTON,463.00,4.00,451.00,0.00,0.00,6.00,1.00,0.00,0.00,1.00
609791.00,BASS,494.00,0.00,482.00,0.00,0.00,9.00,1.00,1.00,1.00,0.00
609792.00,BATEMAN,1040.00,89.00,23.00,0.00,2.00,844.00,2.00,40.00,2.00,38.00
609793.00,NICHOLSON,567.00,0.00,548.00,0.00,1.00,13.00,2.00,3.00,0.00,0.00
609794.00,EDISON,278.00,156.00,11.00,0.00,0.00,35.00,25.00,50.00,1.00,0.00
609795.00,CLARK ES,270.00,3.00,159.00,0.00,3.00,99.00,4.00,0.00,1.00,1.00
609796.00,BEAUBIEN,1117.00,435.00,24.00,0.00,6.00,428.00,58.00,158.00,6.00,2.00
609797.00,BEIDLER,520.00,0.00,503.00,0.00,0.00,15.00,2.00,0.00,0.00,0.00
609798.00,BELDING,605.00,232.00,45.00,0.00,2.00,263.00,22.00,24.00,16.00,1.00
609799.00,BELL,1007.00,632.00,30.00,0.00,2.00,182.00,83.00,73.00,5.00,0.00
